Site_IP,Item Description,L1 Category,Vendor Part Number,Type,Category,UOM,Total Qtts,Discounted unit price,SN,SW Number
10.74.124.41 - ABBS2161,EBAND 2+0  6Gbps 0.3/0.6m,"MW links (HW,SW,Services,Passive)",-----------------,Hardware,MW,Link,140,4908608,-----------------,-----------------
10.74.124.41 - ABBS2161,WV MW UBT EBAND 2+0 OUTDOOR UNIT,"MW links (HW,SW,Services,Passive)",3DB29171AAAA01,Hardware,MW,1,20,2000,TH2245Q01K1,3DB17010KFAA02
10.74.124.41 - ABBS2161,Antenna 0.3,"MW links (HW,SW,Services,Passive)",XXXXXXXX,Hardware,MW,3,0.6,2323,XXXXXXXX,
10.74.124.41 - ABBS2161,WV MW UBT EBAND 2+0 OUTDOOR UNIT,"MW links (HW,SW,Services,Passive)",3DB29171AAAA01,Hardware,MW,90,900,900,TH2246Q01SP,3DB17010KFAA02
10.74.124.41 - ABBS2161,WV MW UBT EBAND 2+0 OUTDOOR UNIT,"MW links (HW,SW,Services,Passive)",3DB29218ABAE06,Hardware,MW,90,90,90,SH2416N04WZ,3DB17010KLAA02
10.74.124.41 - ABBS2161,WV MW INDOOR UNIT,"MW links (HW,SW,Services,Passive)",3DB18485GAAB01,Hardware,MW,6,6,6,BC234592698,--------------
10.74.124.41 - ABBS2161,EBAND 2+0  6Gbps 0.3/0.6m,"MW links (HW,SW,Services,Passive)",-----------------,Software,MW,Link,2000,98732198,-----------------,-----------------
10.74.124.41 - ABBS2161,EBAND 2+0  6Gbps 0.3/0.6m,"MW links (HW,SW,Services,Passive)",-----------------,Service,MW,Link,8723,897987,-----------------,-----------------
10.74.124.41 - ABBS2161,Dismantling service,"MW links (HW,SW,Services,Passive)",-----------------,Hardware,MW,Link,2000,2000,-----------------,-----------------

Site_IP,Item Description,L1 Category,Vendor Part Number,Type,Category,UOM,Total Qtts,Discounted unit price,SN,SW Number
10.74.124.40 - ABBS0162,EBAND 2+0  6Gbps 0.3/0.6m,"MW links (HW,SW,Services,Passive)",-----------------,Hardware,MW,Link,140,4908608,-----------------,-----------------
10.74.124.40 - ABBS0162,WV MW UBT EBAND 2+0 OUTDOOR UNIT,"MW links (HW,SW,Services,Passive)",3DB29181AAAA01,Hardware,MW,1,20,2000,TH2246Q01YG,3DB17010KFAA02
10.74.124.40 - ABBS0162,Antenna 0.3,"MW links (HW,SW,Services,Passive)",XXXXXXXX,Hardware,MW,3,0.6,2323,XXXXXXXX,
10.74.124.40 - ABBS0162,WV MW UBT EBAND 2+0 OUTDOOR UNIT,"MW links (HW,SW,Services,Passive)",3DB29181AAAA01,Hardware,MW,90,900,900,TH2246Q01WT,3DB17010KFAA02
10.74.124.40 - ABBS0162,WV MW INDOOR UNIT,"MW links (HW,SW,Services,Passive)",3DB18485GAAB01,Hardware,MW,6,6,6,BC234592717,--------------
10.74.124.40 - ABBS0162,EBAND 2+0  6Gbps 0.3/0.6m,"MW links (HW,SW,Services,Passive)",-----------------,Software,MW,Link,2000,98732198,-----------------,-----------------
10.74.124.40 - ABBS0162,EBAND 2+0  6Gbps 0.3/0.6m,"MW links (HW,SW,Services,Passive)",-----------------,Service,MW,Link,8723,897987,-----------------,-----------------
10.74.124.40 - ABBS0162,Dismantling service,"MW links (HW,SW,Services,Passive)",-----------------,Hardware,MW,Link,2000,2000,-----------------,-----------------
