Site_IP,Item Description,L1 Category,Vendor Part Number,Type,Category,UOM,Total Qtts,Discounted unit price,SN,SW Number
10.74.124.41,EBAND 2+0  6Gbps 0.3/0.6m,"MW links (HW,SW,Services,Passive)",,Hardware,MW,Link,140,4908608,,
10.74.124.41,WV MW UBT EBAND 2+0 OUTDOOR UNIT,"MW links (HW,SW,Services,Passive)",3DB29171AAAA01,Hardware,MW,1,20,2000,TH2245Q01K1,3DB17010KFAA02
10.74.124.41,WV MW UBT EBAND 2+0 OUTDOOR UNIT,"MW links (HW,SW,Services,Passive)",3DB29171AAAA01,Hardware,MW,11,1000,2000,TH2246Q01SP     ,3DB17010KFAA02
10.74.124.41,EBAND 2+0  6Gbps 0.3/0.6m,"MW links (HW,SW,Services,Passive)",,Software,MW,Link,2000,98732198,,
10.74.124.41,EBAND 2+0  6Gbps 0.3/0.6m,"MW links (HW,SW,Services,Passive)",,Service,MW,Link,8723,897987,,


Site_IP,Item Description,L1 Category,Vendor Part Number,Type,Category,UOM,Total Qtts,Discounted unit price,SN,SW Number
10.74.124.40,EBAND 2+0  6Gbps 0.3/0.6m,"MW links (HW,SW,Services,Passive)",,Hardware,MW,Link,140,4908608,,
10.74.124.40,WV MW UBT EBAND 2+0 OUTDOOR UNIT,"MW links (HW,SW,Services,Passive)",3DB29181AAAA01,Hardware,MW,1,20,2000,TH2246Q01YG     ,3DB17010KFAA02
10.74.124.40,WV MW UBT EBAND 2+0 OUTDOOR UNIT,"MW links (HW,SW,Services,Passive)",3DB29181AAAA01,Hardware,MW,11,1000,2000,TH2246Q01WT     ,3DB17010KFAA02
10.74.124.40,EBAND 2+0  6Gbps 0.3/0.6m,"MW links (HW,SW,Services,Passive)",,Software,MW,Link,2000,98732198,,
10.74.124.40,EBAND 2+0  6Gbps 0.3/0.6m,"MW links (HW,SW,Services,Passive)",,Service,MW,Link,8723,897987,,
